,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
397,Bay Roberts,CA,47.5999,-53.2648,53.51,96,91,5.01,
398,Niquero,CU,20.0431,-77.5828,76.26,89,49,13.87,
399,Te Anau,NZ,-45.4167,167.7167,51.98,54,72,7.76,
400,San Joaquin,US,37.9333,-121.3011,62.38,86,90,3.44,
401,Sioux Lookout,CA,50.1001,-91.917,26.98,86,90,12.66,
402,Jawhar,SO,2.7809,45.5005,83.43,60,18,14.2,
403,Puerto Narino,CO,-3.7703,-70.3831,75.15,95,38,2.24,
404,Aldama,MX,22.9167,-98.0667,77.63,88,6,1.57,
405,Agalatovo,RU,60.2195,30.2739,38.12,86,7,6.55,
406,Itoman,JP,26.1247,127.6694,80.62,51,20,20.71,
407,Chukhloma,RU,58.7525,42.6825,37.87,95,74,5.68,
408,Rio Brilhante,BR,-21.8019,-54.5464,68.31,83,25,4.85,
409,Nuevo Casas Grandes,MX,30.4167,-107.9167,56.75,37,43,3.0,
410,Yulara,AU,-25.2406,130.9889,69.64,88,75,3.44,
411,Raudeberg,NO,61.9875,5.1352,55.0,86,92,8.01,
412,Hay River,CA,60.8156,-115.7999,32.94,52,8,7.49,
413,Laguna,US,38.421,-121.4238,62.06,91,90,4.61,
414,Udachnyy,RU,66.4167,112.4,5.76,95,100,10.25,
415,Mount Isa,AU,-20.7333,139.5,96.57,32,40,9.22,
416,Ixtapa,MX,20.7,-105.2,73.38,93,10,2.68,
417,Padang,ID,-0.9492,100.3543,84.25,73,84,5.32,
418,Hamadan,IR,34.7992,48.5146,59.41,32,90,1.79,
419,Vardo,NO,70.3705,31.1107,41.2,88,100,30.0,
420,Dongkan,CN,33.9997,119.8308,61.79,50,100,2.01,
421,Krasnoselkup,RU,65.7,82.4667,-4.18,96,23,11.9,
422,Mount Gambier,AU,-37.8333,140.7667,84.11,20,75,17.27,
423,Palana,RU,59.1167,159.9667,12.56,88,98,7.31,
424,Komsomolskiy,UZ,40.4272,71.7189,54.32,43,0,0.0,
425,Dhidhdhoo,MV,6.8833,73.1,80.38,79,99,3.96,
426,Qandala,SO,11.472,49.8728,80.2,57,20,5.1,
427,Ainring,DE,47.8167,12.95,43.59,97,75,10.36,
428,Formosa,AR,-26.1775,-58.1781,73.38,78,0,3.44,
429,Kon Tum,VN,14.35,108.0,86.29,48,80,7.31,
430,Shu,KZ,43.5983,73.7614,51.71,45,13,3.83,
431,Lundazi,ZM,-12.2929,33.1782,78.66,43,20,9.04,
432,Krasni Okny,UA,47.5404,29.46,48.38,92,100,4.18,
433,Treinta Y Tres,UY,-33.2333,-54.3833,64.96,94,92,8.77,
434,Solano,US,38.2333,-121.9511,62.11,94,90,5.75,
435,Tonstad,NO,58.6626,6.7169,49.24,96,100,6.13,
436,Cravo Norte,CO,6.3017,-70.2041,74.28,91,29,4.9,
437,Malindi,KE,-3.2175,40.1191,81.57,73,66,8.01,
438,Dali,CN,25.7,100.1833,67.14,40,1,5.82,
439,Benghazi,LY,32.1167,20.0667,72.61,73,10,5.26,
440,Merauke,ID,-8.4667,140.3333,85.39,71,100,14.5,
441,Seremban,MY,2.7297,101.9381,85.51,70,85,4.21,
442,Taoudenni,ML,22.6783,-3.9836,77.59,21,96,10.0,
443,Vryburg,ZA,-26.9566,24.7284,58.3,47,0,11.36,
444,La Ronge,CA,55.1001,-105.2842,28.94,65,99,5.99,
445,Xining,CN,36.6167,101.7667,40.21,53,99,2.08,
446,Port Lincoln,AU,-34.7333,135.8667,70.3,65,100,14.79,
447,Qaqortoq,GL,60.7167,-46.0333,30.7,73,100,5.61,
448,Lompoc,US,34.6391,-120.4579,59.56,89,90,3.44,
449,Huejuquilla El Alto,MX,22.6,-103.8667,60.26,66,66,1.07,
450,Ashcroft,CA,50.7165,-121.2859,39.47,70,100,3.02,
451,Ossora,RU,59.2353,163.0719,7.18,81,13,4.54,
452,Bulgan,MN,48.8125,103.5347,36.73,25,46,11.41,
453,Suhbaatar,MN,50.2314,106.2078,41.74,48,36,11.48,
454,Kavaratti,IN,10.5669,72.642,81.25,77,83,1.79,
455,Mauriti,BR,-7.3892,-38.7744,76.89,66,86,6.4,
456,Durham,US,36.0335,-78.8664,51.62,93,1,0.0,
457,Rumonge,BI,-3.9736,29.4386,73.11,81,97,2.35,
458,Labuhan,ID,-6.8844,112.2051,91.26,54,75,2.55,
459,Gizo,SB,-8.103,156.8419,83.61,74,96,13.11,
460,Yabrud,SY,33.9674,36.6574,55.53,62,100,3.71,
461,Abu Dhabi,AE,24.4667,54.3667,82.51,64,0,5.61,
462,Prince George,CA,53.9166,-122.753,29.62,81,0,1.92,
463,Vitoria,BR,-20.3194,-40.3378,71.46,100,90,4.61,
464,Storforshei,NO,66.4043,14.5233,49.78,62,20,6.91,
465,San Patricio,US,28.017,-97.5169,76.84,72,0,6.6,
466,Anito,PH,12.4497,125.2886,80.69,89,78,9.4,
467,Luoyang,CN,34.6836,112.4536,63.95,55,67,5.08,
468,Faya,SA,18.3851,42.4509,57.72,32,63,3.67,
469,Manzhouli,CN,49.6,117.4333,40.82,57,82,9.64,
470,Ciudad Bolivar,VE,8.1222,-63.5497,76.89,81,27,8.99,
471,Bredy,RU,52.4153,60.3411,32.76,89,99,16.11,
472,Guaruja,BR,-23.9931,-46.2564,75.16,26,56,8.7,
473,Taunggyi,MM,20.7833,97.0333,74.23,65,29,2.46,
474,Half Moon Bay,US,37.4636,-122.4286,61.83,94,90,1.01,
475,Zeya,RU,53.75,127.2667,34.63,43,93,8.14,
476,Ballina,AU,-28.8667,153.5667,65.79,95,79,10.25,
477,Adrar,MR,20.5022,-10.0711,76.89,17,59,9.6,
478,Shieli,KZ,44.1667,66.75,51.31,48,6,4.79,
479,Haigerloch,DE,48.3661,8.8036,44.42,86,46,4.9,
480,Chapleau,CA,47.8405,-83.4034,27.54,81,17,5.19,
481,Bonthe,SL,7.5264,-12.505,76.51,86,100,2.08,
482,Ryotsu,JP,38.0833,138.4333,58.96,59,11,8.21,
483,Floro,NO,61.5996,5.0328,56.1,76,75,23.02,
484,Halifax,CA,44.6453,-63.5724,44.49,79,0,1.01,
485,Puerto Carreno,CO,6.189,-67.4859,75.06,92,98,4.14,
486,Uige,AO,-7.6087,15.0613,66.4,99,100,2.17,
487,Satipo,PE,-11.2522,-74.6386,73.24,75,87,2.75,
488,Sidi Ali,DZ,36.0998,0.4206,66.27,82,35,15.48,
489,Morros,BR,-9.4467,-46.3003,71.83,91,100,3.98,
490,Chapaevsk,RU,52.9813,49.7112,40.21,77,14,1.5,
491,Chivilcoy,AR,-34.8957,-60.0167,58.05,10,99,8.01,
492,Antsohihy,MG,-14.8796,47.9875,83.32,65,4,3.11,
493,Khandbari,NP,27.3747,87.2039,70.09,60,3,4.63,
494,College,US,64.8569,-147.8028,30.58,86,90,0.0,
495,Kattivakkam,IN,13.2167,80.3167,80.69,77,100,7.94,
496,Saint-Paul,RE,-21.0096,55.2707,81.0,78,3,1.99,
497,Surt,LY,31.2089,16.5887,73.18,44,0,12.12,
498,Heilbron,ZA,-27.2812,27.9709,60.04,38,0,6.8,
499,Shimoda,JP,34.6667,138.95,67.1,67,37,3.0,
500,Mantes-La-Jolie,FR,49.0,1.6667,49.32,93,100,8.5,
501,Ahipara,NZ,-35.1667,173.1667,59.92,72,19,18.1,
502,Koshurnikovo,RU,54.1667,93.3,36.0,71,100,13.69,
503,Siparia,TT,10.1333,-61.5,78.08,95,49,5.79,
504,Yeovil,GB,50.9416,-2.6321,44.29,95,66,3.0,
505,Cehu Silvaniei,RO,47.4112,23.1823,30.58,84,7,7.4,
506,San Cristobal,VE,7.7669,-72.225,62.78,96,92,2.77,
507,Luan,CH,46.3592,6.9759,40.57,92,98,3.18,
508,Lubango,AO,-14.9172,13.4925,62.67,37,56,1.54,
509,Zhangye,CN,38.9342,100.4517,51.31,25,3,3.31,
510,Arman,RU,59.7,150.1667,19.02,49,86,2.71,
511,Aquiraz,BR,-3.9014,-38.3911,83.21,75,99,11.48,
512,Erzin,TR,36.9559,36.2,63.12,82,100,5.14,
513,Saint George,US,37.1041,-113.5841,63.36,47,1,1.01,
514,Flinders,AU,-34.5833,150.8552,77.2,54,15,5.01,
515,Fereydunshahr,IR,32.941,50.121,51.69,34,4,1.34,
516,Pucara,PE,-15.9803,-71.4606,37.85,37,83,1.07,
517,Roma,US,43.2128,-75.4557,44.83,82,75,0.0,
518,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,92,100,4.94,
519,Finnsnes,NO,69.2296,17.9811,48.16,95,100,5.39,
520,Isiro,CD,2.7739,27.616,65.03,99,100,1.52,
521,Dvinskoy,RU,62.1535,45.1175,29.79,84,100,8.39,
522,Arti,RU,56.4234,58.5328,20.3,74,35,12.44,
523,Natal,BR,-5.795,-35.2094,77.65,88,40,8.05,
524,Awbari,LY,26.5921,12.7805,67.48,32,0,5.06,
525,Marawi,PH,7.9986,124.2928,73.65,76,97,4.54,
526,Kashi,CN,39.4547,75.9797,51.49,19,0,1.86,
527,Klyuchi,RU,52.2667,79.1667,28.26,70,100,15.32,
528,Necochea,AR,-38.5473,-58.7368,51.04,93,100,5.59,
529,Nishihara,JP,26.1842,127.7558,79.88,52,40,14.97,
530,Nicoya,CR,10.1483,-85.452,72.95,92,99,1.59,
531,Quatre Cocos,MU,-20.2078,57.7625,78.1,70,22,8.81,
532,Narsaq,GL,60.9167,-46.05,30.42,77,100,2.08,
533,Sobolevo,RU,54.4299,31.8996,34.88,93,0,7.56,
534,Impfondo,CG,1.6381,18.0667,68.61,99,100,1.39,
535,Kalmunai,LK,7.4167,81.8167,85.06,69,54,3.71,
536,Bac Lieu,VN,9.285,105.7244,86.83,64,99,19.3,
537,Perpignan,FR,42.75,2.75,50.65,69,20,6.91,
538,Bardiyah,LY,31.7561,25.0865,67.84,60,73,13.53,
539,Altamira,BR,-3.2033,-52.2064,72.82,96,96,1.83,
540,Kirakira,SB,-10.4544,161.9205,83.82,75,27,8.05,
541,Tamasane,BW,-22.4184,27.4013,79.12,30,0,3.53,
542,Ajdabiya,LY,30.7554,20.2263,70.18,49,3,5.99,
543,Koungou,YT,-12.7336,45.2042,83.91,65,40,9.22,
544,Puerto Escondido,MX,15.85,-97.0667,78.89,82,16,5.88,
545,Istok,XK,42.7808,20.4875,50.16,81,100,2.46,
546,Kandrian,PG,-6.2167,149.55,82.35,76,98,9.15,
547,Dong Hoi,VN,17.4833,106.6,81.37,74,39,6.8,
548,Meulaboh,ID,4.1363,96.1285,85.08,68,92,5.08,
549,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,75,24,27.63,
550,Plettenberg Bay,ZA,-34.0527,23.3716,58.35,63,59,9.75,
551,Hervey Bay,AU,-25.2986,152.8535,79.03,59,96,16.8,
552,Cortez,US,37.3489,-108.5859,49.42,75,1,4.61,
553,Nuuk,GL,64.1835,-51.7216,39.81,81,75,2.3,
554,Boende,CD,-0.2167,20.8667,68.81,99,100,0.67,
555,Looc,PH,12.2605,121.9926,85.87,59,72,11.34,
556,Liuhe,CN,42.2401,125.7172,48.45,57,38,3.83,
557,Mumbwa,ZM,-14.9783,27.0619,72.43,51,89,6.49,
558,Rabat,MA,33.9911,-6.8401,67.05,99,75,0.0,
559,Igarka,RU,67.4667,86.5833,-1.28,94,100,12.15,
560,Severo-Kurilsk,RU,50.6789,156.125,37.27,60,89,15.05,
561,Along,IN,28.1667,94.7667,78.57,40,12,1.52,
562,La Primavera,CO,5.4906,-70.4092,73.69,89,28,5.01,
563,Boyolangu,ID,-8.1181,111.8935,83.1,74,59,10.47,
564,Solikamsk,RU,59.6196,56.7729,19.65,69,6,4.25,
565,Caravelas,BR,-17.7125,-39.2481,74.12,93,100,10.67,
566,Vanavara,RU,60.34,102.2797,14.72,59,99,3.91,
567,Bakel,SN,14.905,-12.4568,84.06,25,47,6.06,
568,Villazon,BO,-22.0866,-65.5942,51.13,66,59,9.89,
569,Ovsyanka,RU,55.9575,92.5519,34.77,75,98,19.01,
570,Dodoma,TZ,-6.1722,35.7395,72.5,67,43,9.24,
571,Pierre,US,44.3683,-100.351,31.05,70,1,3.0,
572,Moree,AU,-29.4667,149.85,82.42,28,75,8.05,
573,Arlit,NE,18.7369,7.3853,75.87,22,95,5.99,
574,Taikang,CN,46.8333,124.4167,45.1,29,57,14.25,
575,Verkhnyaya Inta,RU,65.9811,60.3094,4.89,91,21,3.87,
576,Itarema,BR,-2.9248,-39.9167,79.0,81,94,13.33,
577,San Jose,US,37.3394,-121.895,62.15,88,40,1.01,
578,Nahrin,AF,36.0649,69.1334,53.92,38,0,1.72,
579,Ketchikan,US,55.3422,-131.6461,52.27,43,90,5.75,
580,Gat,IL,31.61,34.7642,72.39,76,82,1.36,
581,Mbini,GQ,1.574,9.6134,75.4,87,100,4.43,
582,Barahona,DO,18.2085,-71.1008,76.89,83,17,4.03,
583,Porto Torres,IT,40.835,8.3972,60.98,71,33,14.23,
584,Lata,PT,40.1629,-8.3327,58.05,80,100,1.9,
585,Darhan,MN,49.4867,105.9228,39.88,58,18,10.94,
586,Praia,CV,14.9215,-23.5087,79.34,69,0,11.5,
587,Vallenar,CL,-28.5708,-70.7581,58.86,70,51,1.5,
588,Simpang,ID,-1.2667,104.0833,86.36,69,97,0.81,
589,Loandjili,CG,-4.7561,11.8578,75.65,87,100,1.5,
590,Kharan,PK,28.5833,65.4167,66.58,19,0,3.38,
591,Leningradskiy,RU,69.3833,178.4167,-0.96,81,99,6.91,
592,Spitsevka,RU,45.1231,42.5125,46.81,90,100,13.06,
593,Auki,SB,-8.7676,160.7034,82.45,81,75,5.61,
594,Banswara,IN,23.55,74.45,82.87,27,0,9.75,
595,Cartagena,CO,10.3997,-75.5144,76.62,94,75,6.91,
596,Abonnema,NG,4.7084,6.7931,73.27,94,100,3.18,
597,Bagdarin,RU,54.4333,113.6,34.81,37,43,9.4,
598,Homer,US,59.6425,-151.5483,39.09,87,90,4.61,
599,Puerto Rico,AR,-26.796,-55.024,66.65,88,0,2.82,
600,Broome,US,42.2506,-75.833,43.0,68,90,1.01,
601,Trinidad,BO,-14.8333,-64.9,80.46,61,57,6.46,
602,Saint-Louis,SN,16.3333,-15.0,82.44,19,79,10.2,
603,Saint Joseph,US,39.7686,-94.8466,38.55,95,90,3.44,
604,Bar Harbor,US,44.3876,-68.2039,47.23,52,1,10.0,
605,Ust-Kuyga,RU,70.0167,135.6,-13.16,99,91,6.51,
606,Graaff-Reinet,ZA,-32.2522,24.5308,52.92,63,24,2.77,
607,Zhigansk,RU,66.7697,123.3711,10.08,92,100,8.43,
608,Michigan City,US,41.7075,-86.895,44.58,68,90,8.05,
609,Toppenish,US,46.3774,-120.3087,42.85,75,100,1.25,
610,Isangel,VU,-19.55,169.2667,78.91,57,40,11.5,
611,Loikaw,MM,19.6742,97.2094,79.23,70,35,2.71,
612,Tongliao,CN,43.6125,122.2653,49.46,32,80,14.52,
613,Westport,US,41.1415,-73.3579,52.99,72,1,3.0,
614,Karasburg,NA,-28.0167,18.75,48.29,53,0,3.62,
615,Pyinmana,MM,19.7333,96.2167,84.34,70,68,4.12,
616,Wyndham,US,37.6985,-77.6125,51.48,92,75,0.0,
617,Jijiang,CN,29.2906,106.2542,65.5,91,100,1.36,
618,Kaseda,JP,31.4167,130.3167,71.85,55,0,16.71,
619,Ous,RU,60.9058,61.5186,6.44,86,5,3.58,
620,Kuytun,RU,54.3419,101.5036,35.15,55,100,14.16,
621,Narragansett,US,41.4501,-71.4495,48.81,67,1,0.0,
622,Sladkovo,RU,55.5284,70.3385,13.55,72,4,12.01,
623,Libertador General San Martin,AR,-23.8064,-64.7876,72.97,84,100,0.98,
624,Naryan-Mar,RU,67.6713,53.087,11.98,77,66,15.23,
625,Camana,PE,-16.6228,-72.7111,65.44,83,42,6.73,
626,Sharlyk,RU,52.9167,54.75,40.01,84,54,4.32,
627,Nome,US,64.5011,-165.4064,30.27,93,90,32.21,
628,Inirida,CO,3.8653,-67.9239,72.99,98,85,3.06,
629,Inverell,AU,-29.7833,151.1167,69.15,46,91,2.98,
630,Dongsheng,CN,39.8161,109.9776,48.49,28,0,16.69,
631,Male,MV,4.1748,73.5089,81.21,79,78,12.84,
632,Buenaventura,CO,3.8801,-77.0312,73.67,95,99,0.87,
633,Daokou,CN,35.5639,114.5058,65.41,57,83,13.49,
634,Mitu,CO,1.1983,-70.1733,72.39,96,75,2.75,
635,Barao De Melgaco,BR,-16.1944,-55.9675,79.32,91,100,4.76,
636,Luruaco,CO,10.6092,-75.1431,80.44,88,67,3.96,
637,Shenjiamen,CN,29.9576,122.298,65.1,66,74,10.83,
638,Balabac,PH,7.9868,117.0645,83.97,78,100,17.67,
639,Leh,IN,34.1667,77.5833,25.29,64,92,2.33,
640,Monte Alegre De Minas,BR,-18.8706,-48.8808,68.18,85,10,3.11,
641,Lima,PE,-12.0432,-77.0282,61.14,83,40,8.05,
642,Allahabad,IN,25.45,81.85,79.61,35,0,4.5,
643,Labis,MY,2.385,103.021,84.79,72,98,4.94,
644,Moerai,PF,-22.4333,-151.3333,74.48,75,77,22.75,
645,Jackson,US,42.4165,-122.8345,53.85,94,90,0.0,
646,Kidal,ML,18.4411,1.4078,78.01,18,28,8.57,
647,Izmit,TR,40.7669,29.9169,55.76,94,75,0.0,
648,Atambua,ID,-9.1061,124.8925,87.76,52,55,1.16,
649,Orje,NO,59.4802,11.6602,49.05,93,100,7.29,
650,Rengo,CL,-34.4167,-70.8667,54.43,75,99,0.89,
651,Micoud,LC,13.8167,-60.9,80.53,74,40,16.11,
652,Dukat,RU,62.55,155.55,-7.4,85,29,2.68,
653,Kantang,TH,7.4054,99.5156,88.16,61,88,1.45,
654,Kununurra,AU,-15.7667,128.7333,102.18,27,86,8.05,
655,Nador,MA,35.174,-2.9287,68.25,73,0,5.75,
656,Erenhot,CN,43.6475,111.9767,46.89,28,1,23.73,
657,Almaznyy,RU,48.0448,40.045,50.14,91,93,13.31,
658,Roebourne,AU,-20.7833,117.1333,86.04,29,0,14.45,
659,Spruce Grove,CA,53.5334,-113.9187,30.49,60,0,5.01,
660,Pulaski,US,34.7668,-92.3001,51.33,82,90,8.99,
661,Los Algarrobos,PA,8.5,-82.4333,79.45,91,100,1.7,
662,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,51,0,4.61,
663,Yar-Sale,RU,66.8333,70.8333,4.41,96,75,8.46,
664,Bilibino,RU,68.0546,166.4372,-11.09,100,100,1.79,
665,Alyangula,AU,-13.8483,136.4192,87.75,64,76,14.97,
666,Tual,ID,-5.6667,132.75,84.27,71,75,7.92,
667,Kentau,KZ,43.5206,68.5094,49.89,45,2,3.13,
668,Wilkie,CA,52.4168,-108.7014,24.24,61,41,8.1,
669,Maiduguri,NG,11.8464,13.1603,76.55,26,66,6.02,
670,Ambilobe,MG,-13.2,49.05,82.76,62,1,5.82,
671,Port Blair,IN,11.6667,92.75,84.61,71,100,9.6,
672,Ranong,TH,9.9658,98.6348,86.49,65,100,1.23,
673,Yambio,SS,4.5721,28.3955,68.31,95,100,5.03,
674,Lamu,KE,-2.2717,40.902,82.62,76,93,9.78,
675,Wollongong,AU,-34.4333,150.8833,77.07,54,17,14.05,
676,Kruisfontein,ZA,-34.0033,24.7314,59.88,72,64,17.78,
677,Saint-Joseph,RE,-21.3667,55.6167,79.47,72,19,3.98,
678,Marzuq,YE,14.4,46.4667,70.57,23,91,3.83,
679,Asahikawa,JP,43.7678,142.3703,49.21,76,75,3.44,
680,Kodino,RU,63.7198,39.6447,39.85,97,100,6.24,
681,Hvide Sande,DK,56.0045,8.1294,46.99,81,57,16.28,
682,Porto Novo,BJ,6.4965,2.6036,78.62,86,77,7.94,
683,Denpasar,ID,-8.65,115.2167,89.26,74,40,3.44,
684,Pavlodar,KZ,52.3,76.95,22.8,86,90,15.66,
685,Zirgan,RU,53.2222,55.9185,38.93,88,99,3.06,
686,Yeppoon,AU,-23.1333,150.7333,74.98,61,71,16.62,
687,Soloneshnoye,RU,51.6544,84.3197,39.22,89,100,12.59,
688,Hangu,CN,39.2489,117.7892,57.24,48,96,9.98,
689,Ciudad Guayana,VE,8.3533,-62.6528,72.72,95,27,3.87,
690,Salani,IN,29.957,79.7127,64.71,51,0,3.33,
691,Tandur,IN,17.2333,77.5833,82.06,55,91,9.28,
692,Chenghai,CN,23.4632,116.768,80.51,54,0,4.47,
693,Baruun-Urt,MN,46.6806,113.2792,43.57,49,52,11.27,
694,Port-Cartier,CA,50.0334,-66.8654,43.02,69,98,17.92,
695,Ulaanbaatar,MN,47.9077,106.8832,35.73,41,0,8.95,
696,Kutum,SD,14.2,24.6667,71.78,30,93,15.75,
697,Batagay-Alyta,RU,67.8006,130.4114,-8.81,87,48,3.53,
698,Phan Thiet,VN,10.9333,108.1,85.39,64,97,7.9,
699,Iquique,CL,-20.2208,-70.1431,60.84,84,12,2.59,
700,Gazojak,TM,41.1875,61.4036,53.46,38,52,9.51,
701,Harper,LR,4.375,-7.7169,76.75,89,27,5.03,
702,Bambari,CF,5.768,20.6757,70.7,93,99,1.74,
703,Sain Alto,MX,23.5833,-103.25,58.91,56,43,5.19,
704,Saint-Pierre,RE,-21.3393,55.4781,80.56,67,0,4.61,
705,Namatanai,PG,-3.6667,152.4333,84.88,70,81,4.12,
706,San Rafael Del Sur,NI,11.8485,-86.4384,75.34,87,96,4.47,
707,Sola,VU,-13.8833,167.55,80.56,76,77,23.91,
708,Pictou,CA,45.6834,-62.7153,49.44,49,0,18.41,
709,Berezniki,RU,59.4152,56.8124,16.84,65,4,4.72,
710,Qaanaaq,GL,77.484,-69.3632,5.59,72,8,8.41,clear sky
711,Nizhnevartovsk,RU,60.9344,76.5531,1.42,78,0,6.71,clear sky
712,Vao,NC,-22.6667,167.4833,69.24,58,71,18.66,broken clouds
713,Moussoro,TD,13.6408,16.4901,85.33,19,89,13.31,overcast clouds
714,Port Alfred,ZA,-33.5906,26.891,64.08,64,53,24.38,broken clouds
715,Ponta Do Sol,PT,32.6667,-17.1,69.71,72,85,2.86,overcast clouds
716,Mataura,NZ,-46.1927,168.8643,52.48,81,97,4.7,overcast clouds
717,Yellowknife,CA,62.456,-114.3525,30.42,99,1,5.75,clear sky
718,Rikitea,PF,-23.1203,-134.9692,72.37,77,76,13.91,broken clouds
719,Paamiut,GL,61.994,-49.6678,40.17,62,100,26.31,overcast clouds
720,Goderich,CA,43.7501,-81.7165,45.91,49,99,17.27,overcast clouds
721,Hilo,US,19.7297,-155.09,74.93,79,40,0.0,scattered clouds
722,Provideniya,RU,64.3833,-173.3,23.11,80,90,24.61,snow
723,Masuguru,TZ,-11.3667,38.4167,84.42,54,22,7.47,few clouds
724,Nikolskoye,RU,59.7035,30.7861,39.87,86,3,7.07,clear sky
725,Poum,NC,-20.2333,164.0167,74.17,65,74,17.58,broken clouds
726,Hermanus,ZA,-34.4187,19.2345,56.89,61,76,8.08,broken clouds
727,Mulege,MX,26.8833,-111.9833,70.63,68,23,3.09,few clouds
728,Ca Mau,VN,9.1769,105.15,90.12,53,99,14.25,overcast clouds
729,Bambous Virieux,MU,-20.3428,57.7575,79.21,69,75,16.11,broken clouds
730,Trelleborg,SE,55.3751,13.1569,50.74,80,100,10.8,overcast clouds
731,Mukhtolovo,RU,55.4644,43.1953,38.08,77,13,3.11,few clouds
732,Noyabrsk,RU,63.1994,75.4507,5.07,93,96,9.19,overcast clouds
733,Ahvaz,IR,31.3203,48.6693,78.75,38,0,2.3,clear sky
734,Venice,US,27.0998,-82.4543,66.97,87,1,5.99,clear sky
735,Port-Gentil,GA,-0.7193,8.7815,76.96,94,40,2.3,scattered clouds
736,Kodiak,US,57.79,-152.4072,34.77,72,78,11.43,broken clouds
737,Ende,ID,-8.8432,121.6623,86.49,70,70,4.83,broken clouds
738,Punta Arenas,CL,-53.15,-70.9167,46.51,87,0,4.61,clear sky
739,Sault Sainte Marie,CA,46.5168,-84.3333,37.22,83,90,3.44,overcast clouds
740,Mar Del Plata,AR,-38.0023,-57.5575,58.08,94,90,3.0,light rain
741,Kihei,US,20.785,-156.4656,80.62,83,90,3.44,overcast clouds
742,Cape Town,ZA,-33.9258,18.4232,59.11,78,0,6.91,clear sky
743,Mahebourg,MU,-20.4081,57.7,79.25,69,75,16.11,broken clouds
744,Nakanojo,JP,36.5833,138.85,69.57,55,90,1.01,overcast clouds
745,Coolum Beach,AU,-26.5333,153.1,74.1,70,64,1.99,broken clouds
746,Samarai,PG,-10.6167,150.6667,83.12,72,60,14.41,broken clouds
747,Galesong,ID,-5.3166,119.3661,89.62,63,57,9.71,broken clouds
748,Saskylakh,RU,71.9167,114.0833,-16.44,100,98,3.56,overcast clouds
749,Albany,US,42.6001,-73.9662,41.72,82,100,5.53,overcast clouds
750,Pimentel,PE,-6.8367,-79.9342,62.24,89,29,11.79,scattered clouds
751,Ribeira Grande,PT,38.5167,-28.7,70.52,86,100,12.53,overcast clouds
752,Champerico,GT,14.3,-91.9167,80.04,81,26,3.4,scattered clouds
753,Barrow,US,71.2906,-156.7887,8.62,85,90,8.05,mist
754,Georgetown,MY,5.4112,100.3354,85.98,74,20,1.01,few clouds
755,Fortuna,US,40.5982,-124.1573,56.43,70,90,3.0,overcast clouds
756,Aktash,RU,50.3,87.7333,23.99,58,100,5.37,overcast clouds
757,Faanui,PF,-16.4833,-151.75,79.86,80,55,15.5,light rain
758,Mabaruma,GY,8.2,-59.7833,71.38,94,33,0.83,scattered clouds
759,Tautira,PF,-17.7333,-149.15,80.62,82,69,7.72,light rain
760,Arraial Do Cabo,BR,-22.9661,-42.0278,69.55,90,90,15.05,overcast clouds
761,Amga,RU,60.8953,131.9608,26.33,83,98,7.05,overcast clouds
762,Jamestown,US,42.097,-79.2353,42.12,92,90,11.99,light rain
763,Kendari,ID,-3.945,122.4989,86.88,67,100,4.34,light rain
764,Constitucion,CL,-35.3333,-72.4167,50.92,71,8,6.04,clear sky
765,Atuona,PF,-9.8,-139.0333,78.13,75,44,11.14,light rain
766,Hede,CN,33.7681,120.2517,62.28,50,100,5.41,light rain
767,Butaritari,KI,3.0707,172.7902,81.93,72,16,12.84,few clouds
768,Busselton,AU,-33.65,115.3333,64.09,66,56,16.37,broken clouds
769,Kemin,KG,42.7846,75.6892,53.64,27,8,0.49,clear sky
770,Peterhead,GB,57.5058,-1.7981,46.11,85,100,13.11,overcast clouds
771,Vestmannaeyjar,IS,63.4427,-20.2734,36.32,65,73,28.41,broken clouds
772,Hithadhoo,MV,-0.6,73.0833,83.44,73,69,16.42,broken clouds
773,Kapaa,US,22.0752,-159.319,78.78,84,90,3.44,overcast clouds
774,Beloha,MG,-25.1667,45.05,82.18,47,0,8.39,clear sky
775,Kaeo,NZ,-35.1,173.7833,62.33,71,34,11.7,scattered clouds
776,Cherskiy,RU,68.75,161.3,-6.63,93,100,10.29,overcast clouds
777,Chokurdakh,RU,70.6333,147.9167,-1.95,97,77,9.82,broken clouds
778,Tambura,SS,5.6,27.4667,74.1,80,95,5.17,overcast clouds
779,Cidreira,BR,-30.1811,-50.2056,68.23,93,87,15.39,overcast clouds
780,Grindavik,IS,63.8424,-22.4338,32.47,74,75,24.16,broken clouds
781,Ushuaia,AR,-54.8,-68.3,44.26,81,0,9.22,clear sky
782,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,broken clouds
783,Hobart,AU,-42.8794,147.3294,79.02,40,40,4.0,scattered clouds
784,Hasaki,JP,35.7333,140.8333,70.09,77,91,14.63,overcast clouds
785,Gimli,CA,50.6336,-96.9907,30.43,80,34,5.75,scattered clouds
786,Hobyo,SO,5.3505,48.5268,83.03,64,54,11.01,broken clouds
787,Luanda,AO,-8.8368,13.2343,75.2,83,75,3.44,broken clouds
