City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
1228,1228,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,92,100,4.52,overcast clouds,Pestana Bahia Praia
1230,1230,Isiro,CD,2.7739,27.616,68.0,94,100,2.37,overcast clouds,Guest House Hewa Bora
1234,1234,Awbari,LY,26.5921,12.7805,69.24,30,0,5.35,clear sky,فندق أوباري
1235,1235,Marawi,PH,7.9986,124.2928,74.64,84,97,4.92,overcast clouds,Derogongan Residence
1240,1240,Nicoya,CR,10.1483,-85.452,72.95,92,99,1.01,overcast clouds,Las Cabinas Del Sueño
1244,1244,Impfondo,CG,1.6381,18.0667,69.13,99,100,1.36,overcast clouds,Auberge La Place de Jules
1248,1248,Bardiyah,LY,31.7561,25.0865,69.39,57,63,16.08,broken clouds,بورتو بردية
1249,1249,Altamira,BR,-3.2033,-52.2064,72.32,97,97,2.19,overcast clouds,Requinte Hotel
1252,1252,Ajdabiya,LY,30.7554,20.2263,71.71,41,3,5.99,clear sky,Almadina Hotel
1268,1268,Rabat,MA,33.9911,-6.8401,67.05,95,75,0.0,broken clouds,Hôtel Mercure Rabat Sheherazade
1272,1272,La Primavera,CO,5.4906,-70.4092,73.31,91,28,5.12,scattered clouds,La Riviera Hotel Colonial
1275,1275,Caravelas,BR,-17.7125,-39.2481,73.96,92,100,10.22,heavy intensity rain,Pousada dos Navegantes
1290,1290,Gat,IL,31.61,34.7642,72.39,73,85,1.3,overcast clouds,OlusHome
1300,1300,Kharan,PK,28.5833,65.4167,69.3,17,0,3.2,clear sky,Dil Aram Bangla
1306,1306,Abonnema,NG,4.7084,6.7931,73.63,93,100,1.83,overcast clouds,Corper's Lodge Obonoma
1309,1309,Puerto Rico,AR,-26.796,-55.024,66.09,89,0,2.71,clear sky,Hotel Cabañas del Prado
1327,1327,Jijiang,CN,29.2906,106.2542,65.5,90,100,1.25,overcast clouds,Chongqing Jiangjin Hotel
1328,1328,Kaseda,JP,31.4167,130.3167,72.63,56,0,16.64,clear sky,Sun Stay Kaseda
1333,1333,Libertador General San Martin,AR,-23.8064,-64.7876,72.97,87,100,0.67,overcast clouds,Posada del Sol
1335,1335,Camana,PE,-16.6228,-72.7111,65.91,80,36,7.14,scattered clouds,Hostal Morales
1338,1338,Inirida,CO,3.8653,-67.9239,72.66,98,81,2.77,broken clouds,Fuente del Guania Hotel de Lujo
1339,1339,Inverell,AU,-29.7833,151.1167,70.16,45,93,3.0,overcast clouds,Sapphire City Motor Inn
1342,1342,Buenaventura,CO,3.8801,-77.0312,73.45,96,99,1.86,overcast clouds,La Casa Blanca Hotel
1343,1343,Daokou,CN,35.5639,114.5058,66.09,56,74,13.27,broken clouds,Shangri-La Hotel
1350,1350,Monte Alegre De Minas,BR,-18.8706,-48.8808,70.45,85,10,2.91,clear sky,Hotel Via Hotel
1354,1354,Moerai,PF,-22.4333,-151.3333,74.52,74,74,22.3,broken clouds,Le Manotel
1365,1365,Nador,MA,35.174,-2.9287,68.25,73,0,8.05,clear sky,Hôtel La Giralda
1383,1383,Yambio,SS,4.5721,28.3955,71.91,87,100,5.39,overcast clouds,Naivasha Hotel
1400,1400,Salani,IN,29.957,79.7127,66.99,45,0,4.03,clear sky,Forest Guest House
1406,1406,Kutum,SD,14.2,24.6667,74.5,28,94,19.51,overcast clouds,Dibbo areaمنطقة دبو
1412,1412,Bambari,CF,5.768,20.6757,70.99,93,99,3.06,overcast clouds,Hotel-Restaurant BIBICH
