City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ennis,IE,2021-11-02 01:33:13,52.8436,-8.9864,44.53,93,40,6.91
68,Busselton,AU,2021-11-02 01:30:12,-33.65,115.3333,60.04,56,43,16.82
69,Strezhevoy,RU,2021-11-02 01:33:15,60.7333,77.5889,-4.02,86,42,11.12
70,Cidreira,BR,2021-11-02 01:29:49,-30.1811,-50.2056,68.47,91,34,19.64
71,Altay,CN,2021-11-02 01:33:15,47.8667,88.1167,31.91,98,100,4.56
72,Souillac,MU,2021-11-02 01:33:16,-20.5167,57.5167,70.36,88,40,3.44
73,Port Macquarie,AU,2021-11-02 01:33:16,-31.4333,152.9167,73.89,59,100,11.1
74,Kodiak,US,2021-11-02 01:31:38,57.79,-152.4072,37.47,71,100,13.38
75,Tautira,PF,2021-11-02 01:33:16,-17.7333,-149.15,84.0,81,100,8.86
76,Trelew,AR,2021-11-02 01:33:17,-43.249,-65.3051,58.68,67,86,28.59
77,Madras,IN,2021-11-02 01:30:08,13.0878,80.2785,76.98,100,90,3.44
78,Estelle,US,2021-11-02 01:33:17,29.8458,-90.1067,68.0,75,20,0.0
79,Beloha,MG,2021-11-02 01:33:17,-25.1667,45.05,67.01,85,0,4.97
80,Sioux Lookout,CA,2021-11-02 01:33:18,50.1001,-91.917,28.78,80,40,11.5
81,Pevek,RU,2021-11-02 01:33:18,69.7008,170.3133,3.43,95,100,11.79
82,Onega,RU,2021-11-02 01:33:18,63.9061,38.1404,40.42,96,100,6.33
83,Mahebourg,MU,2021-11-02 01:33:18,-20.4081,57.7,70.25,88,40,3.44
84,Mehran,IR,2021-11-02 01:33:19,33.1222,46.1646,69.28,26,25,4.63
85,Maarianhamina,AX,2021-11-02 01:33:19,60.0973,19.9348,49.86,87,90,10.36
86,Chokurdakh,RU,2021-11-02 01:29:53,70.6333,147.9167,-6.52,98,58,9.31
87,Uinskoye,RU,2021-11-02 01:33:20,56.8817,56.5813,24.06,80,59,10.33
88,Avarua,CK,2021-11-02 01:31:29,-21.2078,-159.775,78.85,73,40,17.27
89,Camocim,BR,2021-11-02 01:33:20,-2.9022,-40.8411,79.32,78,58,13.73
90,Marzuq,YE,2021-11-02 01:34:21,14.4,46.4667,65.3,25,84,3.18
91,Jamestown,US,2021-11-02 01:34:21,42.097,-79.2353,45.01,63,90,8.01
92,Clarence Town,AU,2021-11-02 01:34:21,-32.5833,151.7833,78.15,37,39,7.96
93,Talcahuano,CL,2021-11-02 01:30:21,-36.7167,-73.1167,55.08,82,0,9.22
94,Waipawa,NZ,2021-11-02 01:34:21,-41.4122,175.5153,59.45,77,56,14.16
95,Acarau,BR,2021-11-02 01:30:04,-2.8856,-40.12,79.92,79,97,14.94
96,Arraial Do Cabo,BR,2021-11-02 01:34:22,-22.9661,-42.0278,71.46,94,90,16.11
97,Ambilobe,MG,2021-11-02 01:34:22,-13.2,49.05,71.87,92,0,4.12
98,Djibo,BF,2021-11-02 01:34:22,14.1022,-1.6306,83.17,22,88,9.28
99,Lahaina,US,2021-11-02 01:30:07,20.8783,-156.6825,83.44,81,62,5.28
100,Atambua,ID,2021-11-02 01:34:23,-9.1061,124.8925,87.3,52,30,2.77
101,Tra Vinh,VN,2021-11-02 01:34:23,9.9347,106.3453,85.64,64,75,12.75
102,Hermanus,ZA,2021-11-02 01:34:23,-34.4187,19.2345,54.9,71,72,9.01
103,Valparaiso,CL,2021-11-02 01:34:24,-33.0393,-71.6273,58.48,77,90,0.0
104,Cayenne,GF,2021-11-02 01:30:15,4.9333,-52.3333,82.09,81,64,5.01
105,Marsh Harbour,BS,2021-11-02 01:34:24,26.5412,-77.0636,76.93,63,11,12.93
106,Kampil,IN,2021-11-02 01:34:24,27.6167,79.2833,66.33,67,0,4.9
107,Kununurra,AU,2021-11-02 01:32:59,-15.7667,128.7333,96.78,44,90,6.91
108,Apache Junction,US,2021-11-02 01:34:25,33.4151,-111.5496,77.58,30,1,1.01
109,Lorengau,PG,2021-11-02 01:30:26,-2.0226,147.2712,86.5,60,100,5.93
110,Puerto Colombia,CO,2021-11-02 01:34:25,10.9878,-74.9547,78.89,78,14,11.79
111,Picota,PE,2021-11-02 01:34:26,-6.9197,-76.3304,81.09,83,29,1.83
112,Namibe,AO,2021-11-02 01:32:04,-15.1961,12.1522,64.36,84,44,4.47
113,Faanui,PF,2021-11-02 01:34:26,-16.4833,-151.75,80.24,77,15,14.99
114,Hami,CN,2021-11-02 01:31:16,42.8,93.45,46.87,50,90,4.21
115,Batagay-Alyta,RU,2021-11-02 01:34:26,67.8006,130.4114,-9.74,86,30,5.14
116,Moanda,GA,2021-11-02 01:34:27,-1.5575,13.2178,68.88,99,100,1.7
117,Axim,GH,2021-11-02 01:34:27,4.8699,-2.2405,77.54,89,78,5.88
118,Saskylakh,RU,2021-11-02 01:31:32,71.9167,114.0833,-9.11,100,100,2.68
119,Umm Lajj,SA,2021-11-02 01:34:27,25.0213,37.2685,82.54,58,100,5.19
120,Devils Lake,US,2021-11-02 01:34:28,48.1128,-98.8651,33.94,68,90,1.99
121,Gogrial,SS,2021-11-02 01:34:28,8.5332,28.1004,74.8,70,100,4.63
122,Conde,BR,2021-11-02 01:34:28,-7.2597,-34.9075,78.26,78,20,6.91
123,Sao Raimundo Nonato,BR,2021-11-02 01:34:29,-9.0153,-42.6994,81.14,51,100,3.74
124,Hithadhoo,MV,2021-11-02 01:34:29,-0.6,73.0833,82.98,73,78,17.56
125,Kapaa,US,2021-11-02 01:29:37,22.0752,-159.319,82.38,78,90,1.01
126,Dakar,SN,2021-11-02 01:34:29,14.6937,-17.4441,79.68,76,7,16.04
127,Bredasdorp,ZA,2021-11-02 01:30:19,-34.5322,20.0403,54.72,82,45,8.05
128,Punta Arenas,CL,2021-11-02 01:28:16,-53.15,-70.9167,50.11,62,0,10.36
129,Tlalchapa,MX,2021-11-02 01:34:30,18.4,-100.4667,74.1,86,11,1.63
130,Leningradskiy,RU,2021-11-02 01:31:18,69.3833,178.4167,2.52,76,100,8.86
131,Albany,US,2021-11-02 01:27:31,42.6001,-73.9662,43.54,70,100,5.88
132,Mandalgovi,MN,2021-11-02 01:34:30,45.7625,106.2708,30.47,34,0,12.75
133,Bathsheba,BB,2021-11-02 01:34:30,13.2167,-59.5167,81.21,74,75,9.22
134,Zhigansk,RU,2021-11-02 01:31:38,66.7697,123.3711,5.99,89,100,4.16
135,Nemuro,JP,2021-11-02 01:34:31,43.3236,145.575,46.83,67,100,17.27
136,Vaitape,PF,2021-11-02 01:35:31,-16.5167,-151.75,80.22,77,14,15.12
137,Vanimo,PG,2021-11-02 01:35:31,-2.6741,141.3028,87.03,60,100,3.02
138,Los Llanos De Aridane,ES,2021-11-02 01:35:32,28.6585,-17.9182,65.95,74,0,3.0
139,Zhoucheng,CN,2021-11-02 01:35:32,35.9122,116.3117,59.02,57,96,11.86
140,Nioro,GM,2021-11-02 01:35:32,13.35,-15.75,75.6,66,9,6.46
141,Carnarvon,AU,2021-11-02 01:35:34,-24.8667,113.6333,68.07,45,90,17.27
142,Castro,BR,2021-11-02 01:35:34,-24.7911,-50.0119,57.96,97,58,7.23
143,Biak,ID,2021-11-02 01:35:34,-0.9131,122.8766,84.42,64,99,1.61
144,San Cristobal,VE,2021-11-02 01:35:35,7.7669,-72.225,68.18,97,86,2.26
145,Krasnoselkup,RU,2021-11-02 01:33:29,65.7,82.4667,-9.35,98,22,10.09
146,Tucuma,BR,2021-11-02 01:35:35,-0.1833,-50.05,77.97,88,94,6.15
147,Husavik,IS,2021-11-02 01:35:35,66.0449,-17.3389,31.91,95,100,19.73
148,Kelowna,CA,2021-11-02 01:31:58,49.8831,-119.4857,42.66,72,90,2.3
149,Otautau,NZ,2021-11-02 01:35:36,-46.15,168.0,52.45,48,98,8.41
150,Salalah,OM,2021-11-02 01:31:37,17.0151,54.0924,71.69,56,0,6.91
151,Harlingen,US,2021-11-02 01:35:36,26.1906,-97.6961,78.35,83,1,8.05
152,Cabo San Lucas,MX,2021-11-02 01:35:36,22.8909,-109.9124,80.62,68,2,3.0
153,Evensk,RU,2021-11-02 01:35:36,61.95,159.2333,-0.24,79,13,2.73
154,Broken Hill,AU,2021-11-02 01:31:24,-31.95,141.4333,83.91,21,100,12.66
155,New Glasgow,CA,2021-11-02 01:35:37,45.5834,-62.6486,53.78,71,0,11.99
156,Apen,DE,2021-11-02 01:35:37,53.2167,7.8,46.33,94,59,7.96
157,Severo-Kurilsk,RU,2021-11-02 01:35:37,50.6789,156.125,37.45,57,83,17.98
158,Qinhuangdao,CN,2021-11-02 01:35:38,39.9317,119.5883,54.03,62,63,8.57
159,Lavrentiya,RU,2021-11-02 01:35:38,65.5833,-171.0,17.37,84,100,20.24
160,Payo,ID,2021-11-02 01:35:38,-3.7508,103.6372,77.38,87,100,0.96
161,Butaritari,KI,2021-11-02 01:35:39,3.0707,172.7902,82.65,68,16,12.48
162,Klaksvik,FO,2021-11-02 01:35:39,62.2266,-6.589,43.72,87,100,23.76
163,Kahului,US,2021-11-02 01:35:39,20.8947,-156.47,83.46,77,40,9.22
164,Provideniya,RU,2021-11-02 01:35:40,64.3833,-173.3,21.31,79,90,24.61
165,Salamanca,ES,2021-11-02 01:35:40,40.8333,-6.0,47.98,87,100,7.29
166,Matay,EG,2021-11-02 01:35:40,28.419,30.7792,69.49,59,78,6.73
167,Kruisfontein,ZA,2021-11-02 01:33:27,-34.0033,24.7314,57.88,79,78,18.86
168,Bengkulu,ID,2021-11-02 01:35:41,-3.8004,102.2655,79.0,85,95,0.56
169,Mahon,ES,2021-11-02 01:35:41,39.8885,4.2658,63.16,82,40,5.75
170,Ostrovnoy,RU,2021-11-02 01:35:41,68.0531,39.5131,35.13,95,100,20.31
171,Emerald,AU,2021-11-02 01:35:42,-23.5333,148.1667,80.74,44,45,11.5
